ID,Title,Text
10,Worst in europe,"Useless website, poor service"
11,Left phone on train..,Left phone on train... national rail guard / inspector found.. answered and returned phone... the phone had money.. bank cards and pins all in the case and this trustworthy guard handed it back to us. He went out of his way to return it and wouldn't accept any money or reward. Absolutely amazed that there are still decent people out there... this was a train from east Croydon to Tonbridge tonight. Very proud to have genuine people like this work for our national rail
12,b@stards charge £330 to get from London …,b@stards charge £330 to get from London to Manchester! i paid less to travel around Switzerland for three weeks. Don't even understand hows that legal.
13,Grater Anglea British rail customer …,"Grater Anglea British rail customer service is bad. The online site must take money from people without the phone app everyday as they chose this option for you on a continue page, misslead you by asking for your name  that you can not use to collect tickets. If you do not request refund straight away, and I don't know what if any you get back, they refund nothing even if a ticket is not used and you bough another."
14,Poor website design,Poor website design. Give a chance to some competent person to design a proper site for 2018!
15,Another trip from London king’s cross …,"Another trip from London king’s cross to kings lynn without a seat. This is the 7th time in 6 months at different times of the day that the train service is inadequate. People crammed into carriages, all squashed on top of each other. To bad. This time even I felt ashamed that this was all we could offer as there were a group of foreign tourists who couldn’t believe it. Shame on national rail as this route has been just like this for years! ☹️"
16,Unreasonable pricing,"When booking a train for what was a reasonable price, the site 'crashed', upon reloading all the trains I was booking double in price. Appalling, I wanted to go home and now I can't even afford to do that."
17,Not to be trusted with your journeys,Not to be trusted with your journeys! Cambridge to London is probably one of the worst routes they serve.
18,Do not trust.,Could be much better keeps showing different fares for the same journey. Do not trust what you are seeing.
19,Oh no! It's the National Rail website!,Every time I go on the site to try and get train times I get the pathetic 'Oh no' message about the site having 'technical difficulties'. Utterly dismal and amateurish.
20,Todmorden to Huddersfield,Todmorden to Huddersfield. ...afternoon journey is a joke. Late trains / no trains. For the last 3 weeks....
21,Just received the most outstanding …,"Just received the most outstanding customer service experience I have ever had while visiting the Guildford Railway Station! I used one of the counters (because I am not too familiar with ticket types) to buy tickets for my friends and myself and the gentlemen, Alvaro saved a huge amount us money for us. He was very kind and explained what kind of further options we have rather than a normal travel card. Thank you so much again Alvaro!"
22,Had a train conductor with bad attitude …,"Had a train conductor with bad attitude ( who I've seen have attitude with other people before) have a go at me and my mum for not buying our tickets before we got on the train,  we explained there's no ticket office and only 1 ticket machine which doesn't work. I had my railcard and debit card ready to pay.  She wasn't having any of it. Next time I see her I'll take her name and report her personally for being rude."
23,Always breaks down,Always breaks down. Honestly one of the worst websites- embarrassing really.
24,Shocking day out,"Instead of having a 40 minute journey, I had a 1 hour 30 minute journey due to someone jumping in front of a train which caused two cancellations. These were not made clear and the three staff members there were sat on a bench with their arms crossed. Then the train took a further 10 minutes than stated to get to the platform which also was not made clear. By the time the train finally came at 11:57 I didnt think it was still morning, I thought it was at least sometime in the evening, if not sometime next year."
25,Bought a ticket online,"Bought a ticket online. Regular price was £28.50 but buy it now for £15.90. Bought the ticket after taking ages to pay for the ticket as the web page kept saying invalid email address. Got home and printed the ticket out only to realise that the departure time was different to the one i had paid for, meaning i have to pay the original price. Not the first time ive had problems on this site. Totally useless site and costly"
26,It could be so much better.,"I do not understand why people are leaving negative reviews on the National Rail page, for complaints against specific journeys and the service received from specific journey providers (such as Northern Rail,  Transpennine Express etc (TPE)). National Rail are not responsible for those, only the services they themselves offer, such as timetables, purchasing tickets etc. If you have a problem with Cross Country trains, surely you complain to Cross Country and leave a review on the Cross Country specific page?!"
27,First class greater ambellio is …,First class greater ambellio is actually a joke. I have travelled from ipswich to torquay. First western first class was amazing! The 1st  leg was massively disappointing. No difference to standard seats or facilities
28,London Victoria Information desk worker rude and unhelpful,"Really disappointed with rude and unhelpful information desk worker at London Victoria outside platforms 1-5 (today at 19h). Surely the job description explained you'd have to talk to people. Every person I saw talk to the man, came away more confused or perturbed, whilst I waited for my train. Only glad I didn't have to speak toto him. A training course in customer service? How this man has a job when so many people are unemployed I don't know. Such a shame, every other member of staff has been delightful with all my dealings with national rail."
29,Impossible to buy a Travel Card on line …,Impossible to buy a Travel Card on line 3 days ahead. Keeps throwing to Southern Rail who dont recognize the final DLR destination. So whats the point- perhaps to pay the full price on the day at the station then....
30,Last week my family and myself …,"Last week my family and myself completed our return journey from Birmingham airport to Newport south wales comprimising of: Birmingham international to Birmingham new Street - Birmingham New Street to Bristol Parkway and Bristol Parkway to Newport. Having had a poor journey to Birmingham international 14 days previous due to ignorant unhelpful platform staff at Newport and Birmingham ( At Newport they were more interested at sitting in there cabin than helping) we thought that things could only get better, how wrong were we. Well lets start at the beggining: After arriving via the shuttle to Birmingham International at around 8.45pm we could find nobody to ask what platform we needed for a train to Birmingham New Street so we had to figure it out ourselves via the info screens. Having arrived at Birmingham new street we spotted a platform guard so we waited for him to dispatch the train and asked him for the platform we needed to catch our train to Bristol Parkway well he was very rude and told us he did not know so we would have to use the info screen upstairs, what chance have we got of trains running smoothly if he did not know what train runs from what platform?. Having dragged our luggage between us 5 adults and 3 young children we figured it out. Arriving at Bristol Parkway we asked the platform attendant for the right platform for Newport expecting the same attitude as the last guard but to our suprise he was extremely helpful giving us the info we needed and helping us with the lift and pointing out that we could use the waiting room pointing out that we could turn the heaters on as we had over an hour to wait but then came the bad news the train was delayed due to signalling issues. Once the train arrived the guard was very helpful and helped us board the train as we had 6 pieces of luggage. Once on the train more bad news was announced "" Due to signalling issues we had to do a detour that would add around 45 minutes to our journey "" just what we did not need.We arrived at Newport at 02.15 instead of 01.27. Will I use the railway again NO NO NO Expensive but useless"
31,I have recently visited the UK from …Australia,"I have recently visited the UK from Australia with my son,sister and mother who is 88 years old. Although my mum is in fine form for her age, we required a wheelchair for most of our travels around the UK and London."
32,Redesign your website,National Rail needs to fire all people responsible for their web design because it's one of the most badly designed websites you can come across.
33,National Rail issues,"Whilst usually I find national rail journeys good, there have been several occasions on south west trains where the service is unsatisfactory!"
34,It is one of the worst and most unreliable service seen,"They will not inform you of any changes and when they say look at their website for update it, they only update much later on after they made changes after weeks , and when they say they offer rail replacement, they are either late or don't even show up!"
35,Useless,Absolutely terrible website. Ridiculous prices
36,train conductors are scam artists,"After presenting and asking two members of the on-board team if I had the correct train for my ticket I got comfortable ready to enjoy my what should have been a quick, quiet journey home. Instead the conductor who I'd previously spoken to refused my ticket and made me purchase a new one. After explaining I simply couldn't afford it he explained I could be fined very loudly infront of everyone I felt so embarrassed. I was told no discount would be given even though I have a valid government card. When I arrived at my station which was seconds later I was furious so went to the information desk where I was told it was my own fault no complaint or refund will be handled. If you can get to your destination an alternative method I would definitely use it. It will be less stressful and properly won't have to pay twice."
37,Isn't possible to review them with 0…,Isn't possible to review them with 0 stars?!
38,Better out there,Found cheaper deals at redspotted hanky
39,very uncooperative,"Got delayed on the tube journey and missed my 10:20 train to Manchester. I explained the situation and asked to be let onto the next train at 10:40 (same price tickets both off peak, train was half empty as it turned out) - was told this train is more expensive (which was a lie as it turned out), made to buy new ticket by a very smug looking manager. For me as a student was quite a lot of money and felt very very unfriendly (we'll make you pay to make a point). Hope they've enjoyed my £50 and imagine just how nice would be to get the same money from them every time the trains are late.."
40,Bad bad bad.,"Replacement service between Royston and Cambridge has a long que, not enough buses to accommodate customers. And rail officers picking random people of the back of the     que to be first on bus. Advice to anyone try not to use rail replacement service if you are aware it will occur.  Lack of information on service whilst in que as to where bus is heading further services etc."
41,Delayed Ticket Information and horrible service!,"My experience with National Rail was god awful! Firstly I received no ticket information from them after purchasing a ticket, so I called them up and then got it sorted, I tried to make a point that it was not fair that i had to receive the information half an hour before the trains departure, so I was redirected to the Team Leader Becca, who then firstly gave me a snide attitude for asking for compensation or even a proper explanation for something other than ""System fault"", and then also talked me while literally giggling. How is this right? The fact that they treated me like dirt when they messed up my ticket."
42,Disgusting service,"One of the worst train companies I have ever used in London. Rubbish, never on time service. Delays and cancellations on a daily basis or every two days. Always experiencing delays due to some reason. No processes in place to fix service quickly and effectively. I would not recommend this service to anyone visitin London. Utter rubbish. Wasted hours of my life waiting for delayed trains and cancelled trains. Always over packed trains."
43,No complaints,"We used National Rail extensively during our week-long stay in London. It was convenient & provided great connectivity. Most of the times, we had no difficulty in finding seats either."
44,Ticket purchase for someone else???/ Ridiculous,Recently my Girlfriend wanted to buy me a train ticket so that I could go and visit her that day. As I had very little finances at the time I gladly accepted and waited for her to get back to me with news that the ticket had been bought. To my astonishment she called me and said that she was unable to buy me a ticket as I'd need the debit card used to make the online purchase in order to collect it from the Self-collection Machine. How ridiculous! My partner wants to buy me a Ticket and she can't because I NEED HER DEBIT CARD to collect the ticket.
45,Query on ticket bought on line,"The customer service man was extremely unhelpful.  We bought my sons fiancé who is a student, a ticket on line with our payment card as a treat so she could visit and didn't think about her having to have the card with her to collect the tickets.  The man said that there was nothing that could be done and she would have to purchase another ticket - surely NR can do something in these situations rather than take £70 of our money for nothing!!  Disgusting!  The unhelpful rude man didn't even give us any clear advice."
46,I hunted for a review site just so I…,"I hunted for a review site just so I can share how much I despise National Raill. We pay all this money in the uk, especially London to travel day to day to work, school runs etc and yet we get this absolute ******** TRASH excuse of a what they call a “service”. Blatantly lie always saying there was a faulty train absolute bs it’s just them giving us this **** service and making excuses for the disorganisation. Without fail! I’m telling you without fail like clockwork there are multiple cancellations and delays every single ****ing day!!!!! I’m just amazed as what they like to call a “first world country” like this they can’t even offer a good dependable service for the outrageous prices we pay.  Honestly who ever is in charge of running this “service” needs to give it a rest, just retire cause this ain’t for you. If I date minus stars I would! They are lucky minimum star rating is one they don’t even deserve the dirt of my shoe. NO ONE DEPEND ON NATIONAL RAIL CAUSE WITHOT FAIL THEY WILL LET TOU DOWN. I’ve had free services which perform better than them! The ones in charge of this “service” should be ashamed of themselves and quit!!!!"
47,A total nightmare!!!,"The most disgraceful, useless and totally incompetent Train Service anywhere in Europe."
48,I have never had a time where the…,"I have never had a time where the trains have ran smoothly and efficiently for me. I am always 30mins up to 3 hours delayed. So dissapointing, and the new train designs are not worth what they were paid for. !!!"
49,Always cancel always delayed never…,"Always cancel always delayed never travel in your time. I'm gonna lose my job because of this. They make announcement sorry :) im sorry, if you can't do probly just close...."
50,Bad bad bad sort yourself out .1 July…,Bad bad bad sort yourself out .1 July 2018 .abroad can do why can't we .
51,Not Good,During last week I renewed my Disabled Rail Pass for £20 using my debit card to find National Rail has debited my account twice with the same amount.  This has now reduced my bank balance to 99p so am unable to purchase food for the weekend as like many on low income live from hand to mouth.
52,dire And disgusting joke of a service,I don’t want to give a star at all.
53,Disabled assistance,Today I have travelled by train for the 1st time as a disabled passenger I'm in a wheelchair at present and I cannot fault the staff at all neither at burton on Trent or Birmingham new street so helpful. the service they have for disabled passengers is great.
54,They break their own terms of use,"They break their own terms of use by not responding to complaints emails within 20 days. Will be taking this matter to the ombudsman, the FCA and other higher governing bodies"
55,Deplorable service,"We had been waiting for an 11:30am bus since 11:15am, right in front of the gate. Before we knew it, the doors had been shut in our faces and the bus departed. As we are not from the UK, we did not realise we had to walk out amongst the buses without any direction, and where we are from you usually board at the ticketed time. There was NO final boarding call and no indication that it was boarding (no sign, no people around the bus etc.)"
56,Id give less than 1 star if I could,"Id give less than 1 star if I could. How can any company take so many people's money and just say ""this service is cancelled"".  YOU ARE ABSOLUTE CRIMINALS. we pay a fortune for absolute crap with you"
57,No trust ....,08/June / 18
58,This is a mixed review based on…,This is a mixed review based on different criteria.
59,Unacceptable website,"Unacceptable website! National disgrace but they don't care, won't even read this review."
60,Always Terrible,"Always Terrible, worst communications in the business. Also how much do you charge for tickets?"
61,I use the app daily,"I use the app daily, I just wish that the app would reflect when the trains get canned and go from another station"
62,Misleading website,"I booked a first class ticket on a specific train (traveling to an airport, so which train I got mattered) and the website instead gave me a standard class ticket not usable on the service I had booked. The rail company refused to accept responsibility blaming nationalrail.co.uk. The website is either misleading or fraudulent, substituting a completely different ticket for the one requested without any indication that this was possible."
63,Timetable and booking information unable to access,The UK has the worst national rail service Farcical new summer timetable hasn't been finalised which starts middle May 2018 so unable to research times of trains unable to book trains for late May early June 2018. So much for the standard 12 week advance search now not even 8 weeks as of 31st March 2018.
64,Extremely rude and unhelpful staff!!,Extremely rude and unhelpful staff!!
65,"Air conditioning broken, pre-ordered breakfast not available","The air conditioning was broken on my outward journey. According to the attendant it had been broken for some time and he wasn't very pleased that it hadn't been fixed yet despite his pleas to higher powers for this to happen. I endured a very uncomfortable night during which I was either very hot or, having taken the covers off me and after the temperature had dropped, very cold. I woke up in the morning with a sore throat and hoarseness, and my voice hasn't recovered even now, 10 days later. I can only think that the reason it wasn't fixed in a timely manner has something to do with the fact that the trains are soon to be replaced. On one leg of the only other journey I have made with Caledonian sleeper, there was a problem with the ventilation which meant we had to sleep with the doors open to avoid carbon monoxide poisoning. Presumably some suit in an office somewhere decided it would be a shrewd business move to spend money on advertising the new fleet of trains, rather then rushing to ensure that customers have a comfortable journey in existing trains that will soon go out of use. No refund was offered for the lack of air conditioning."
66,Railcard users beware,"Railcard users beware, Caledonian Sleeper have decided to no longer honour senior and other discount rail cards when you book their twin berth cabins. They claim it is because of the new trains - actually it seems to just be a convenient revision to their booking rules to extract more money from their passengers. The website gives the impression that the discount has been applied when booking - but it hasn't. Very disappointing behaviour."
67,Falls well short of expectations set by the marketing - VERY POOR!,Poor experience from start to finish. The most impressive thing is the marketing!... the experience falls well short of this.
68,Ok but not great,"Decent service if you want to wake up in the centre of London.  Do not expect much privacy though, the staff knock on your door and enter without your permission about 2 seconds later!"
69,Excellent Service,Just travelled up and down to Scotland on the sleeper and the staff and service has been brilliant. You get woken up when you want (for me after the train has arrived so you get as much sleep as possible) the beds are comfortable and there is plenty of room for luggage on board.
70,Caledonian Sleeper,I try to get up to Scotland maybe once a month as it's home and I was hoping to take my dog north with me this weekend but booked without checking that they'd charge £94 for her to travel with me.
71,Forgot our 2 together rail card,Forgot our 2 together rail card.
72,I was getting the 16:33 train to find…,"I was getting the 16:33 train to find out it was cancelled so had wait around till 17:33 to find out that was delayed for 16 minutes to see only one coach train came. Had to stand in the middle of the train in this heat with about 30+ other people this didn’t feel safe, when trying to get off the train had to slide down the train pushing in to other people and struggling to get off the train which resulted in me nearly missing my stop. I just think if they cancel a train they should at least realise that they need a bigger train as a lot people had to wait for the next one I would rated is 0/5 stars if I was able to I won’t be travelling with them again."
73,Vile customer service,"The poorest customer service I have ever experienced. Around Christmas 2017 a female instructor insisted I spent £35 on a new ticket from Sheffield to Nottingham even though I could clearly evidence I had purchased a specified ticket for the train I was travelling on. She was rude, disparaging and aggressive in front of other passengers with no appreciation that other passengers could hear her shouting at me. To top it it off when I complained they never provided a refund even though, again, I had confirmation of my purchase. Absolutely vile company, which I will continue to boycott through using other train services and booking tickets through alternative company sites. They should be ashamed to have workers like this representing their company."
74,They took money from my bank account…,They took money from my bank account mistakly and never refunded! they stole money
75,Reserved seats but were taken up by…,Reserved seats but were taken up by squatters who refused to move claiming that the train staff gave them permission to sit anywhere they wanted. So what's the point of advance booking with reservation?
76,three hour delay with no clear…,"three hour delay with no clear explanation why... a full refund is only the bare Minimum that should be offered, for arriving at 11pm when you should have been there by 8pm"
77,Worst company ever,"Worst company ever, not only the train was 50 minutes late but we received no information from the staff at the station."
78,I use this company most days,I use this company most days. Like everything else you can get delays and cancellations but all in all I find the service ok. The staff seem friendly enough also. The tickets can do with being cheaper and less over crowding
79,My daughter paid for first class for…,"My daughter paid for first class for her return journey after flying from Florida.  Got on the train at St Pancras and there was only water on offer.  No tea, no coffee, no snacks. She was so hungry and was desperate for a cup of tea! Absolutely appalling. Travelling on her own, she couldn't leave her things to go in search of a buffet car.  They take the first class fare but do not offer the service.  How do they get away with this? We went first class with Virgin trains and it was absolutely fantastic.  At service food and drinks and the first class lounge for the return journey was  wonderful with ample food and drinks available and on the journey itself we had sandwiches, biscuits, drinks etc."
80,Rip off merchants!,"As a regular First Class traveller with this train company, I am totally brassed off with how they're allowed to get away with charging First Class ticket prices whilst not providing First Class service. For example, I travelled from Leicester to Derby last night (27 Apr 18) on the 22.03 service. It was announced at Leicester station there would be an at-seat service on the train but did I see one? Of course not! There were five female members of the on-train team stood in the area at the back of Coach G laughing and joking for the entirety of my journey and none of them attempted to serve refreshments in First Class or even check tickets."
81,Awful,"I booked a train for 10am online the day before my commute as it is a lot cheaper but there was a technical problem and it booked the 7pm train. After I booked it and realised, I went on there again and filmed my booking process as proof I was not making this up and it showed there was a technical error and it was redirecting me to a different train time that I originally selected. When I rang East Midlands and explained it to the man on the phone he told me I was lying and the website wouldn’t do that, so I offered to email the video over as I needed to get on my train for work. The man on the phone gave me a fake email, and he also told me it would take 3 days for them to reply to me. So no matter what this wasn’t get resolved, he told me I had to buy another ticket which was £90 now as the tickets had gone up and there was nothing they can do about it. Even though I had proof this was not my fault and it was there website, he was rude and couldn’t care less that I had to get to work. I couldn’t afford to buy another train ticket so I’ve lost a whole day at work and had to pre book the train for the next day as it’s cheaper. Overall this was disgusting customer service and they couldn’t care, and they’ve lost me a days pay and now I’ve had to pay two train fares as well."
82,We use East Midlands Trains on a…,"We use East Midlands Trains on a regular basis, the service is always brilliant and if we do get stuck their Twitter team comes back quick."
83,Total dissatisfaction for a 1st class experience,"Extremely disappointed with the 1st class experience. Old and dirty carriages, no trolley service and the guy serving the buffet bar has zero customer service skills! I asked a question about the menu, he just shrugged his shoulders and shook his head! Didn't have a clue.. never again complete waste of money. Not a patch on Virgin!!!!"
84,I called there Web support service team…,"I called there Web support service team up to cancel my ticket, as i have made other arrangements for transport to luton airport. Following a big surprise that there is a big admin fee of £10 just to cancel a single ticket."
85,Really disappointing service...,"I visited Lincoln station today (23/02, 19.20) to go to York. I had a problem with my tickets and I asked the lady on the desk kindly to help me as my train was about to leave."
86,Dire,"Dire.  Absolutely dire.  Ancient trains with uncomfortable 40 year old seats.  Other train operators have fully refurbished their similar trains but not EMT.  Just shove some new fabric on a 40 year old seat and its fine.   First class is a joke compared to other long distance operators.  The First Class lounge at St Pancras is appalling.  Clearly done on the cheap.  Tiny, over crowded, often dirty and unattended with a poor selection of refreshments.   I now drive to Grantham or Newark to travel on East Coast wherever possible.  Often cheaper fares and first class rail travel as it should be."
87,I use the trains a lot and this must be…,I use the trains a lot and this must be the most appaling train comp in the country. The on board staff were fine but appeared to be struggling for infomation and to support their employers.
88,Filthy carriages,"Filthy, old first class carriages with no trolley service both ways. This company needs to learn the real first class experience from a well know east coast operator."
89,Joke of a train provider,"Use them often unfortunately as there's no other viable option. Constant overcrowding because they don't put enough coaches on is a weekly occurrence. They apologize over the tannoy....why not just manage it properly?! Always book a seat only to be told ""no reservations"", when there are reservations it's so overcrowded it takes 30 mins to work your way to your seat. Avoid if possible! Travel with other providers such as virgin with no problem."
90,£180 to be shipped like cattle,No option to reserve seats but restricted to the train booked. No seats - £180 for my wife and I to stand/sit on the floor for over an hour.
91,Not worth £50 upgrade,"Seeing on their website that upgrade to 1st was only £20 we decided to opt in. The host was a star and service from a trolley was good, Internet was great."
92,What a ridiculous setup,What a ridiculous setup! Everyone rushing to the train midday Saturday to find nearly all seats electronically marked as reserved with nobody in them. Perhaps they will be charging for people sitting together next. Also charge for WIFI.
93,Horrendous customer service and…,"Horrendous customer service and organisation at Virgin Trains, from Euston Station."
94,30/05/18,30/05/18
95,Crap,Crap in every way
96,No compensation for a delay over 1 hour,"Used Virgin trains on Friday night which was delayed  by 22 mins which meant I had to wait an hour for my connecting train. Despite me buying the entire journey through Virgin train the compesation response said it was ""fair"" and ""consistent"" that they didn't compensate as I the train was less than 30 mins."
97,Paddy & Michael,"I used the Liverpool Lime Street to Euston train service last week and cannot fault the service that I received. Very many thanks and compliments to Paddy and Michael, the train managers, who were superb and treated me like royalty."
98,Never use this train service again !,"Never use this train service again !! On the train now from London Kings Cross to Arbroath, we paid over £400 that’s including our rail cards for the 3 off is for our journey- the train was so overcrowded- we were unable to reserve a seat for our 6 hr Journey- then even the ailse were so packed with people - even outside the carriages by the toilets were full with people - we had to stand by the toilet for our journey which stunk !!!!! Surly this has to be a health and safety issue ?? Totally disgusted on how we were treated - and spoken to by some of the staff....... anyone looking at using this service “FORGET IT” I’m going to make sure this is posted on EVERY social media page 😡"
99,Yet again virgin train is late,"Yet again virgin train is late , a later virgin train arrived when mine should of , but because I’d bought an advance ticket I could not use this train which was going to the same station . Last"
100,Unfair pricing,Terrible pricing. I bought a ticket for £20 and to change it to the one 15 minutes earlier to ride with a friend required me to apparently get a completely new ticket - for £80. We travelled separately just to see how empty the trains were. Terrible corporate feeling with unfair pricing.
101,Consistently poor,"Regrettably I use Virgin trains a lot for work, commuting from Kings Cross to various parts of the country. The outward journey is usually ok, however when returning back to London in the evening, I have not once been on time. The delays and long pauses are consistent with Virgin Rail. By contrast contrast when I have travelled with Midland Railways, no issues at all. Try to avoid Virgin!!!!"
102,After cancelling my train and the one…,After cancelling my train and the one that was supposed to be an alternative  train I was told by a virgin employee when I complained if you don't like it don't go by train
103,My honest opinion on travelling on the…,My honest opinion on travelling on the virgin train from Newcastle the Staff were so lovely on the virgin train that i got from Newcastle to Edinburgh very accommodating and polite helping me find my seat and the food was lovely a lot of room to sit back and relax I would definitely use this service again.
104,Used there trains a couple of times…,"Used there trains a couple of times from London to Manchester, never had any delay, but their wifi would cause any ones hair to fall out, and the fact you need to purchase this on an expensive trip such as this, would make you think twice about what kind of message they are saying with this."
105,E-mail sent to Mr Branson and Co,E-mail sent to Mr Branson and Co
106,Had the misfortune to travel 3 times…,"Had the misfortune to travel 3 times with this company and every time I have been let down. Most recent was travelling to Liverpool Lime Street from Shrewsbury with a change at Crewe. Unbeknown to myself Liverpool were playing Roma at Anfield on the day I travelled and being disabled I am unable to stand for any length of time despite the fact that a seat had been reserved but was unable to use it. Virgin train dispatchers are rude and insensitive to people with mobility issues, the final straw being oh well if you had arranged assistance in advance we could have helped you. Having done this on previous travels with this company where assistance was conspicuous by it s absence or so grudging that you feel as though you are a nuisance. Sadly, I'm due to travel to Blackpool to a conference in a weeks time and guess which train company I've got to make do with, yes Virgin again."
107,Terrible response time/no answer to my question via email,"I sent an email to the customer service department on the 23/3 to ask how to reserve a train seat on my return journey from London on the 11/4 while travelling for a month through Europe. Initially, they claimed it would take up to 15 days to respond, 45 days later I received a response saying they had a large number of emails to process. I received no information or help from the company."
108,When I looked at the reviews for Virgin…,"When I looked at the reviews for Virgin Trains on Trust Pilot, it confirmed that my own experience with this pathetic company wasn't a 'one-off'."
109,Paid  £120,Paid  £120
110,Virgin what has happened to you?,"A very bad experience with Virgin staff who were less than helpful. After waiting 2 hours in the freezing cold station at Glasgow where actual snow flakes were coming through the roof our train back to London Euston flashed up cancelled. I asked the Virgin staff what should we do and the only advice given by a truly fed up female member of their staff was to download their train app and twitter for live updates. When asked but we are now stranded the female shrugged her shoulders put her arms out and said frostily ""nothing I can do""! We were ""abandoned"" for 4 days without an offer of them finding accommodation, food or drink.....yet they had a duty of care which they failed dismally to provide. Their tweets advised each day that trains would leave Glasgow yet when you looked on Euston they were ALL cancelled and I had to tweet them to say their live updates were in fact incorrect. We discovered by mere chance they were starting to bus passengers from Glasgow to Carlisle where trains were now running ....this information was on Teletext but not Twitter! So the following morning (day 4 of being abandoned) we drudged our way down to the station in the snow at 7.00am without breakfast or a hot drink. We expected a notice to advise passengers we expected a member of Virgin staff to be on hand but there was no one! I had to ask the ticket sales manager who advised connection buses were laid on yesterday but Virgin staff didn't want to make it public as they would be unindated instead it was by mere chance if passengers found out.....shocking! This was infuriating to say the least as we could have got home a day early saving the added expense of a night's accommodation, food, drink not to mention our 2 dogs who had been stuck in kennels. The bus turned up shortly after 8am and we were ushered on to it. No provision of hot drinks or food which could have been provided by Virgin as nearby food outlets were open. We travelled to Carlisle station where on the platform there were a handful of Virgin staff in a huddle keeping their distance from the passengers. We had to approach them for advice. We purchased our own drinks + food from the nearby kiosk but again no offer from Virgin despite their passenger charter of providing refreshment and food where possible....well it was possible! On the train to Preston the buffet car was shut due to passengers sitting on the floor....the train was rammed. We had to change at Preston to catch another train to Milton Keynes. And it wasn't until we had just left Birmingham that food was finally provided.....unfortunately no hot drinks as the boiler had broken! It has taken 55 days to get a reply to my complaint and to be reimbursed for accommodation only apparently on this occasion they are not reimbursing food and drink....How do they expect us to be stuck with a bill out of our control whilst in their care?! I might add I had to chase the reply up on numerous occasions .....online chats as Virgin obviously don't have human beings that can talk on a phone! Managers were apparently always in meetings leaving their staff to front the online chats and some not very successfully either. I was constantly being promised a reply with 10 working days....5 working days....by the end of the week.....oh you will receive it by next Wednesday as our printer for the cheques has broken! Fobbed off big time and to think a big company like Virgin only have ""one"" printer to print the cheques....yeah right! The letter was a standard reply which lacked empathy or sincerity for any remorse regarding our stranded situation. They barely apologised. So why did it take 55 days to reply? Their website states 28 days which again they clearly failed like their trains. Would I recommend Virgin trains ""No""!"
